Kategori,Kabupaten/Kota,Tahun,IKP_offstat,"IPM (Indeks 
Pembangunan Manusia)","Kepadatan Penduduk 
per km persegi (Km2)",Tingkat Pengangguran Terbuka (TPT) (Persen),Persentase Penduduk Miskin  (Persen),"Luas Panen 
Tanaman Padi 
(ha) (Ha)","Produktivitas 
Tanaman Padi 
(ku/ha) (Ku/ha)_offstat","Rekap Produksi 
Padi 
(ton) (Ton)_offstat",Jumlah bayi Gizi Kurang (Rb),Jumlah bayi (Rb),Prevalensi Bayi Gizi Kurang,IPM,Kemiskinan,TPT,Kepadatan_Penduduk,Prevalensi_Gizi_Kurang,PC1,PC2,PC3,PC4,PC5,IKP_cluster,"Rekap Produksi 
Padi 
(ton) (Ton)_cluster","Produktivitas 
Tanaman Padi 
(ku/ha) (Ku/ha)_cluster",Cluster,_merge
kabupaten,Sumenep,2025,73.5036,70.54,556.0,1.64,17.02,35770.0,52.96,189423.0,1900.0,85980.0,2.209816236,70.54,17.02,1.64,556,2.209816236,-2.328588298358816,-0.1907059129601646,-1.219375604376953,0.4171027090834832,0.3102771341144866,73.5036,189423.0,52.96,2,both
kabupaten,Trenggalek,2021,80.84,70.4,641.0,3.53,12.14,22491.95,51.78,116456.34,2388.0,47280.0,5.050761421,70.4,12.14,3.53,641,5.050761421,-1.296558488430829,-0.2830006662470105,-0.3067477440377571,-0.1811944576971504,-0.264787612740725,80.84,116456.34,51.78,2,both
kabupaten,Trenggalek,2022,80.68,71.28,592.0,5.37,10.96,22026.97,52.55,115758.01,817.0,47730.0,1.711711712,71.28,10.96,5.37,592,1.711711712,-0.6267544354249567,-0.8357350250235236,0.4720323342701865,-0.3226325003496594,-0.2286409401572568,80.68,115758.01,52.55,2,both
kabupaten,Trenggalek,2023,81.9,71.96,593.0,4.52,10.63,22049.36,52.1,114874.53,2714.0,48120.0,5.6400665,71.96,10.63,4.52,593,5.6400665,-0.7097113038909907,-0.3791614535017543,0.111800888680839,-0.3942867095403292,-0.1629251218175521,81.9,114874.53,52.1,2,both
kabupaten,Trenggalek,2024,72.02773,72.47,596.0,3.9,10.5,18239.46,57.49,104859.35,17086.0,48240.0,35.41873964,72.47,10.5,3.9,596,35.41873964,-0.7981111291412549,1.555537917907269,0.5537891744113757,-0.1565450986642416,-0.1329845442673299,72.02773,104859.35,57.49,1,both
kabupaten,Trenggalek,2025,76.82007,73.39,598.0,3.86,10.29,27943.0,56.55,158029.0,2560.0,47640.0,5.3736356,73.39,10.29,3.86,598,5.3736356,-0.6548476416722246,-0.195821703685781,-0.2961898107570048,-0.5093599079878083,0.0308168519756233,76.82007,158029.0,56.55,2,both
kabupaten,Tuban,2021,83.0,70.1,656.0,4.68,16.31,88049.64,55.58,489418.62,6450.0,76040.0,8.482377696,70.1,16.31,4.68,656,8.482377696,-1.559667764052247,-0.4926422468619921,0.4589036511000909,0.5839011073595144,0.1508750182378619,83.0,489418.62,55.58,2,both
kabupaten,Tuban,2022,83.02,70.79,613.0,4.54,15.02,85288.02,58.5,498938.59,736.0,75740.0,0.9717454449,70.79,15.02,4.54,613,0.9717454449,-1.361835080335671,-0.8459452686407026,0.1410433475468593,0.2730647327520268,0.1362973421822643,83.02,498938.59,58.5,2,both
kabupaten,Tuban,2023,84.41,71.4,617.0,4.4,14.91,84115.63,59.65,501741.12,5195.0,75880.0,6.846336321,71.4,14.91,4.4,617,6.846336321,-1.312574671010669,-0.4439209313332091,0.194942781824024,0.2988238020502315,0.2161457610685536,84.41,501741.12,59.65,2,both
kabupaten,Tuban,2024,73.65513,72.31,621.0,4.28,14.36,84211.69,62.11,523067.49,45314.0,76930.0,58.90289874,72.31,14.36,4.28,621,58.90289874,-1.199292564414429,2.731165769905901,1.443357182118996,0.7189962472215181,0.2411171047144497,73.65513,523067.49,62.11,1,both
kabupaten,Tuban,2025,73.22961,73.15,624.0,3.44,14.13,96992.0,59.59,577964.0,5577.0,79770.0,6.991350132,73.15,14.13,3.44,624,6.991350132,-1.23778124500897,-0.1441869801221331,-0.3762390725187495,0.0971102708712104,0.4110600757945522,73.22961,577964.0,59.59,2,both
kabupaten,Tulungagung,2021,85.15,73.29,1039.0,4.91,7.51,39850.76,59.7,237916.96,753.0,70920.0,1.061759729,73.29,7.51,4.91,1039,1.061759729,0.0176948238824582,-0.594086597387973,0.0016276581324403,-0.7873090544403938,-0.3601513851140263,85.15,237916.96,59.7,2,both
kabupaten,Tulungagung,2022,86.05,74.14,966.0,6.65,6.71,39531.25,52.42,207217.26,872.0,72160.0,1.208425721,74.14,6.71,6.65,966,1.208425721,0.6071627178687012,-0.9304356387023848,0.834063805621934,-0.8467941371821843,-0.2871877359588528,86.05,207217.26,52.42,2,both
kabupaten,Tulungagung,2023,85.23,74.65,968.0,5.65,6.53,40238.66,58.53,235502.11,3469.0,73380.0,4.727446171,74.65,6.53,5.65,968,4.727446171,0.451321167747791,-0.4739273816225903,0.3983667514576017,-0.90477906964021,-0.2332962303154999,85.23,235502.11,58.53,2,both
kabupaten,Tulungagung,2024,74.93348,75.13,973.0,4.12,6.28,34167.99,62.87,214820.77,28626.0,74310.0,38.52240614,75.13,6.28,4.12,973,38.52240614,0.1572119002858673,1.910239221601957,0.4875428442124533,-0.6969252395491662,-0.2319472244465009,74.93348,214820.77,62.87,1,both
kabupaten,Tulungagung,2025,74.81565,75.88,978.0,4.03,5.96,39342.0,61.15,240566.0,4230.0,74360.0,5.688542227,75.88,5.96,4.03,978,5.688542227,0.2842904313487819,0.0032947535051588,-0.4557370845045915,-1.094493894038844,-0.1059160858642823,74.81565,240566.0,61.15,2,both
